query,product_id,url,relevance_score
cerave moisturizer for dry skin,129,https://incidecoder.com/products/uncover-moisturizer,5
cerave moisturizer for dry skin,47,https://incidecoder.com/products/clinique-super-rescue-antioxidant-night-moisturizer-for-very-dry-to-dry-skin,5
cerave moisturizer for dry skin,81,https://incidecoder.com/products/beauty-pie-super-retinol-vitamin-c-night-renewal-moisturizer,5
cerave moisturizer for dry skin,18,https://incidecoder.com/products/piz-buin-ultra-light-dry-touch-sun-fluid-spf-30,5
cerave moisturizer for dry skin,151,https://incidecoder.com/products/sebamed-unreine-haut-pflegegel,5
cerave moisturizer for dry skin,57,https://incidecoder.com/products/the-chemistry-brand-glow-oil,5
cerave moisturizer for dry skin,37,https://incidecoder.com/products/neogen-white-truffle-laycure-oil-stick,5
cerave moisturizer for dry skin,145,https://incidecoder.com/products/krave-oat,5
cerave moisturizer for dry skin,46,https://incidecoder.com/products/stratia-liquid-gold,5
cerave moisturizer for dry skin,115,https://incidecoder.com/products/paulas-choice-defense-nightly-reconditioning-moisturizer,5
cerave moisturizer for dry skin,155,https://incidecoder.com/products/peter-thomas-roth-retinol-fusion-pm-moisturizer,4
cerave moisturizer for dry skin,120,https://incidecoder.com/products/hada-labo-skin-plumping-gel-cream,4
cerave moisturizer for dry skin,36,https://incidecoder.com/products/paulas-choice-omega-complex-eye-cream,4
cerave moisturizer for dry skin,132,https://incidecoder.com/products/the-ordinary-high-spreadability-fluid-primer,4
cerave moisturizer for dry skin,95,https://incidecoder.com/products/dr-dennis-gross-all-in-one-cleanser-with-toner,4
cerave moisturizer for dry skin,71,https://incidecoder.com/products/omorovicza-balancing-moisturiser,4
cerave moisturizer for dry skin,2,https://incidecoder.com/products/paulas-choice-resist-perfectly-balanced-foaming-cleanser,4
cerave moisturizer for dry skin,4,https://incidecoder.com/products/hada-labo-gokujyun-premium-hyaluronic-acid-lotion,4
cerave moisturizer for dry skin,134,https://incidecoder.com/products/onyx-professional-callus-removing-multi-strips,4
cerave moisturizer for dry skin,7,https://incidecoder.com/products/skinceuticals-resveratrol-b-e,4
cerave moisturizer for dry skin,8,https://incidecoder.com/products/uncover-suncover,3
cerave moisturizer for dry skin,9,https://incidecoder.com/products/acure-revitabond-bonding-leave-in-conditioner,3
cerave moisturizer for dry skin,10,https://incidecoder.com/products/glossier-moisturizing-moon-mask,3
cerave moisturizer for dry skin,135,https://incidecoder.com/products/the-ordinary-lactic-acid-5-ha-2,3
cerave moisturizer for dry skin,12,https://incidecoder.com/products/paulas-choice-resist-anti-aging-eye-gel,3
cerave moisturizer for dry skin,13,https://incidecoder.com/products/fix-derma-cosmetics-labarotory-aha-lightening-gel,3
cerave moisturizer for dry skin,14,https://incidecoder.com/products/niod-neck-elasticity-catalist,3
cerave moisturizer for dry skin,139,https://incidecoder.com/products/the-ordinary-alpha-arbutin-2-ha,3
cerave moisturizer for dry skin,140,https://incidecoder.com/products/pixi-peel-polish,3
cerave moisturizer for dry skin,17,https://incidecoder.com/products/skinceuticals-triple-lipid-restore-2-4-2,3
cerave moisturizer for dry skin,144,https://incidecoder.com/products/acure-revitabond-bonding-hair-mask,2
cerave moisturizer for dry skin,146,https://incidecoder.com/products/the-ordinary-buffet-copper-peptides-1,2
cerave moisturizer for dry skin,149,https://incidecoder.com/products/caudalie-premier-cru-the-elixir,2
cerave moisturizer for dry skin,152,https://incidecoder.com/products/votary-cleansing-oil-rose-geranium-and-apricot,2
cerave moisturizer for dry skin,29,https://incidecoder.com/products/the-ordinary-matrixyl-10-ha,2
cerave moisturizer for dry skin,31,https://incidecoder.com/products/the-ordinary-resveratrol-3-ferulic-acid-3,2
cerave moisturizer for dry skin,32,https://incidecoder.com/products/niod-sanskrit-saponins,2
cerave moisturizer for dry skin,35,https://incidecoder.com/products/deciem-hylamide-cleanser,2
cerave moisturizer for dry skin,38,https://incidecoder.com/products/zelens-intense-defence-antioxidant-serum,2
cerave moisturizer for dry skin,40,https://incidecoder.com/products/cosmedix-refine-rx,2
cerave moisturizer for dry skin,43,https://incidecoder.com/products/ag-care-remedy-apple-cider-leave-on-mist,1
cerave moisturizer for dry skin,44,https://incidecoder.com/products/silk-naturals-super-defense-serum,1
cerave moisturizer for dry skin,48,https://incidecoder.com/products/niod-re-pigment,1
cerave moisturizer for dry skin,50,https://incidecoder.com/products/skinceuticals-c-e-ferulic,1
cerave moisturizer for dry skin,52,https://incidecoder.com/products/audace-hair-reactive-and-hair-fall-control-tonic,1
cerave moisturizer for dry skin,56,https://incidecoder.com/products/the-ordinary-euk-134-0-1,1
cerave moisturizer for dry skin,60,https://incidecoder.com/products/krave-beauty-beet-the-sun,1
cerave moisturizer for dry skin,64,https://incidecoder.com/products/spa-scentials-glow-face-and-body-oil,1
cerave moisturizer for dry skin,67,https://incidecoder.com/products/the-ordinary-buffet,1
cerave moisturizer for dry skin,72,https://incidecoder.com/products/the-ordinary-amino-acids-b5,1
organic vegan free hair shampoo,52,https://incidecoder.com/products/audace-hair-reactive-and-hair-fall-control-tonic,5
organic vegan free hair shampoo,125,https://incidecoder.com/products/audace-extra-hair-reactive-and-hair-fall-control-tonic,5
organic vegan free hair shampoo,99,https://incidecoder.com/products/indie-lee-swiss-apple-facial-serum,5
organic vegan free hair shampoo,106,https://incidecoder.com/products/acure-revitabond-bonding-hair-serum,5
organic vegan free hair shampoo,77,https://incidecoder.com/products/trilogy-rosehip-oil-antioxidant,5
organic vegan free hair shampoo,144,https://incidecoder.com/products/acure-revitabond-bonding-hair-mask,5
organic vegan free hair shampoo,43,https://incidecoder.com/products/ag-care-remedy-apple-cider-leave-on-mist,5
organic vegan free hair shampoo,60,https://incidecoder.com/products/krave-beauty-beet-the-sun,5
organic vegan free hair shampoo,151,https://incidecoder.com/products/sebamed-unreine-haut-pflegegel,5
organic vegan free hair shampoo,124,https://incidecoder.com/products/pestle-mortar-superstar,5
organic vegan free hair shampoo,97,https://incidecoder.com/products/skinstitut-multi-active-oil,4
organic vegan free hair shampoo,82,https://incidecoder.com/products/tatcha-water-cream,4
organic vegan free hair shampoo,57,https://incidecoder.com/products/the-chemistry-brand-glow-oil,4
organic vegan free hair shampoo,54,https://incidecoder.com/products/dr-sam-bunting-skincare-flawless-moisturiser,4
organic vegan free hair shampoo,56,https://incidecoder.com/products/the-ordinary-euk-134-0-1,4
organic vegan free hair shampoo,38,https://incidecoder.com/products/zelens-intense-defence-antioxidant-serum,4
organic vegan free hair shampoo,47,https://incidecoder.com/products/clinique-super-rescue-antioxidant-night-moisturizer-for-very-dry-to-dry-skin,4
organic vegan free hair shampoo,71,https://incidecoder.com/products/omorovicza-balancing-moisturiser,4
organic vegan free hair shampoo,19,https://incidecoder.com/products/drunk-elephant-a-passioni-retinol-cream,4
organic vegan free hair shampoo,1,https://incidecoder.com/products/caudalie-vineactiv-glow-activating-anti-wrinkle-serum,4
organic vegan free hair shampoo,2,https://incidecoder.com/products/paulas-choice-resist-perfectly-balanced-foaming-cleanser,3
organic vegan free hair shampoo,3,https://incidecoder.com/products/paulas-choice-skin-perfecting-8-aha-gel-exfoliant,3
organic vegan free hair shampoo,4,https://incidecoder.com/products/hada-labo-gokujyun-premium-hyaluronic-acid-lotion,3
organic vegan free hair shampoo,5,https://incidecoder.com/products/niod-multi-molecular-hyaluronic-complex-2-mmhc2,3
organic vegan free hair shampoo,6,https://incidecoder.com/products/the-ordinary-ascorbyl-glucoside-solution-12,3
organic vegan free hair shampoo,7,https://incidecoder.com/products/skinceuticals-resveratrol-b-e,3
organic vegan free hair shampoo,8,https://incidecoder.com/products/uncover-suncover,3
organic vegan free hair shampoo,9,https://incidecoder.com/products/acure-revitabond-bonding-leave-in-conditioner,3
organic vegan free hair shampoo,10,https://incidecoder.com/products/glossier-moisturizing-moon-mask,3
organic vegan free hair shampoo,11,https://incidecoder.com/products/biore-uv-watery-essence-spf50-pa,3
organic vegan free hair shampoo,12,https://incidecoder.com/products/paulas-choice-resist-anti-aging-eye-gel,2
organic vegan free hair shampoo,13,https://incidecoder.com/products/fix-derma-cosmetics-labarotory-aha-lightening-gel,2
organic vegan free hair shampoo,14,https://incidecoder.com/products/niod-neck-elasticity-catalist,2
organic vegan free hair shampoo,15,https://incidecoder.com/products/dr-sebagh-deep-exfoliating-mask,2
organic vegan free hair shampoo,16,https://incidecoder.com/products/biologique-recherche-serum-placenta,2
organic vegan free hair shampoo,17,https://incidecoder.com/products/skinceuticals-triple-lipid-restore-2-4-2,2
organic vegan free hair shampoo,18,https://incidecoder.com/products/piz-buin-ultra-light-dry-touch-sun-fluid-spf-30,2
organic vegan free hair shampoo,20,https://incidecoder.com/products/mediheal-collagen-firming-volume-serum,2
organic vegan free hair shampoo,21,https://incidecoder.com/products/allies-of-skin-molecular-saviour-mist,2
organic vegan free hair shampoo,22,https://incidecoder.com/products/pyunkang-yul-pyunkang-yul-acne-facial-cleanser,2
organic vegan free hair shampoo,23,https://incidecoder.com/products/stratia-c-c-serum,1
organic vegan free hair shampoo,24,https://incidecoder.com/products/the-ordinary-alpha-lipoic-acid-5,1
organic vegan free hair shampoo,25,https://incidecoder.com/products/perrricone-md-pre-empt-refreshing-shower-mask,1
organic vegan free hair shampoo,26,https://incidecoder.com/products/niod-flavanone-mud,1
organic vegan free hair shampoo,27,https://incidecoder.com/products/drunk-elephant-t-l-c-framboos-tm-glycolic-night-serum,1
organic vegan free hair shampoo,28,https://incidecoder.com/products/alpha-h-age-delay-cleansing-oil,1
organic vegan free hair shampoo,29,https://incidecoder.com/products/the-ordinary-matrixyl-10-ha,1
organic vegan free hair shampoo,30,https://incidecoder.com/products/rodan-fields-redefine-overnight-restorative-cream,1
organic vegan free hair shampoo,31,https://incidecoder.com/products/the-ordinary-resveratrol-3-ferulic-acid-3,1
organic vegan free hair shampoo,32,https://incidecoder.com/products/niod-sanskrit-saponins,1
amla oil,77,https://incidecoder.com/products/trilogy-rosehip-oil-antioxidant,5
amla oil,117,https://incidecoder.com/products/dhc-deep-cleansing-oil,5
amla oil,114,https://incidecoder.com/products/glossier-milky-oil,5
amla oil,28,https://incidecoder.com/products/alpha-h-age-delay-cleansing-oil,5
amla oil,37,https://incidecoder.com/products/neogen-white-truffle-laycure-oil-stick,5
amla oil,88,https://incidecoder.com/products/sunday-riley-luna-sleeping-night-oil,5
amla oil,75,https://incidecoder.com/products/clinique-smart-treatment-oil,5
amla oil,57,https://incidecoder.com/products/the-chemistry-brand-glow-oil,5
amla oil,152,https://incidecoder.com/products/votary-cleansing-oil-rose-geranium-and-apricot,5
amla oil,64,https://incidecoder.com/products/spa-scentials-glow-face-and-body-oil,5
amla oil,106,https://incidecoder.com/products/acure-revitabond-bonding-hair-serum,4
amla oil,9,https://incidecoder.com/products/acure-revitabond-bonding-leave-in-conditioner,4
amla oil,73,https://incidecoder.com/products/alpha-h-liquid-laser-cleansing-oil,4
amla oil,2,https://incidecoder.com/products/paulas-choice-resist-perfectly-balanced-foaming-cleanser,4
amla oil,97,https://incidecoder.com/products/skinstitut-multi-active-oil,4
amla oil,82,https://incidecoder.com/products/tatcha-water-cream,4
amla oil,149,https://incidecoder.com/products/caudalie-premier-cru-the-elixir,4
amla oil,131,https://incidecoder.com/products/missha-time-revolution-first-treatment-essence-intensive,4
amla oil,84,https://incidecoder.com/products/banila-co-clean-it-zero-nourishing,4
amla oil,124,https://incidecoder.com/products/pestle-mortar-superstar,4
amla oil,144,https://incidecoder.com/products/acure-revitabond-bonding-hair-mask,3
amla oil,42,https://incidecoder.com/products/is-clinical-warming-honey-cleanser,3
amla oil,96,https://incidecoder.com/products/pixi-pixi-caroline-hirons-double-cleanse-cream,3
amla oil,155,https://incidecoder.com/products/peter-thomas-roth-retinol-fusion-pm-moisturizer,3
amla oil,35,https://incidecoder.com/products/deciem-hylamide-cleanser,3
amla oil,1,https://incidecoder.com/products/caudalie-vineactiv-glow-activating-anti-wrinkle-serum,3
amla oil,3,https://incidecoder.com/products/paulas-choice-skin-perfecting-8-aha-gel-exfoliant,3
amla oil,4,https://incidecoder.com/products/hada-labo-gokujyun-premium-hyaluronic-acid-lotion,3
amla oil,5,https://incidecoder.com/products/niod-multi-molecular-hyaluronic-complex-2-mmhc2,3
amla oil,6,https://incidecoder.com/products/the-ordinary-ascorbyl-glucoside-solution-12,3
amla oil,7,https://incidecoder.com/products/skinceuticals-resveratrol-b-e,2
amla oil,8,https://incidecoder.com/products/uncover-suncover,2
amla oil,10,https://incidecoder.com/products/glossier-moisturizing-moon-mask,2
amla oil,11,https://incidecoder.com/products/biore-uv-watery-essence-spf50-pa,2
amla oil,12,https://incidecoder.com/products/paulas-choice-resist-anti-aging-eye-gel,2
amla oil,13,https://incidecoder.com/products/fix-derma-cosmetics-labarotory-aha-lightening-gel,2
amla oil,14,https://incidecoder.com/products/niod-neck-elasticity-catalist,2
amla oil,15,https://incidecoder.com/products/dr-sebagh-deep-exfoliating-mask,2
amla oil,16,https://incidecoder.com/products/biologique-recherche-serum-placenta,2
amla oil,17,https://incidecoder.com/products/skinceuticals-triple-lipid-restore-2-4-2,2
amla oil,18,https://incidecoder.com/products/piz-buin-ultra-light-dry-touch-sun-fluid-spf-30,1
amla oil,19,https://incidecoder.com/products/drunk-elephant-a-passioni-retinol-cream,1
amla oil,20,https://incidecoder.com/products/mediheal-collagen-firming-volume-serum,1
amla oil,21,https://incidecoder.com/products/allies-of-skin-molecular-saviour-mist,1
amla oil,22,https://incidecoder.com/products/pyunkang-yul-pyunkang-yul-acne-facial-cleanser,1
amla oil,23,https://incidecoder.com/products/stratia-c-c-serum,1
amla oil,24,https://incidecoder.com/products/the-ordinary-alpha-lipoic-acid-5,1
amla oil,25,https://incidecoder.com/products/perrricone-md-pre-empt-refreshing-shower-mask,1
amla oil,26,https://incidecoder.com/products/niod-flavanone-mud,1
amla oil,27,https://incidecoder.com/products/drunk-elephant-t-l-c-framboos-tm-glycolic-night-serum,1
skincare for sun damage,3,https://incidecoder.com/products/paulas-choice-skin-perfecting-8-aha-gel-exfoliant,5
skincare for sun damage,111,https://incidecoder.com/products/paulas-choice-resist-advanced-smoothing-treatment-10-aha,5
skincare for sun damage,47,https://incidecoder.com/products/clinique-super-rescue-antioxidant-night-moisturizer-for-very-dry-to-dry-skin,5
skincare for sun damage,18,https://incidecoder.com/products/piz-buin-ultra-light-dry-touch-sun-fluid-spf-30,5
skincare for sun damage,97,https://incidecoder.com/products/skinstitut-multi-active-oil,5
skincare for sun damage,119,https://incidecoder.com/products/skoon-skincare-superfluity-moisture-gel,5
skincare for sun damage,154,https://incidecoder.com/products/bioderma-photoderm-leb-spf-30,5
skincare for sun damage,93,https://incidecoder.com/products/dr-jetske-ultee-suncare-spf-30,5
skincare for sun damage,60,https://incidecoder.com/products/krave-beauty-beet-the-sun,5
skincare for sun damage,31,https://incidecoder.com/products/the-ordinary-resveratrol-3-ferulic-acid-3,5
skincare for sun damage,98,https://incidecoder.com/products/nydg-formula-119-cream,4
skincare for sun damage,131,https://incidecoder.com/products/missha-time-revolution-first-treatment-essence-intensive,4
skincare for sun damage,54,https://incidecoder.com/products/dr-sam-bunting-skincare-flawless-moisturiser,4
skincare for sun damage,142,https://incidecoder.com/products/sunday-riley-a-i-adaptive-retinoid-serum,4
skincare for sun damage,53,https://incidecoder.com/products/niod-low-viscosity-cleaning-ester,4
skincare for sun damage,145,https://incidecoder.com/products/krave-oat,4
skincare for sun damage,116,https://incidecoder.com/products/beauty-pie-triple-hyaluronic-ha-peptide-serum,4
